Product sku;Color sku;Photo link
1;1;https://camitees.com/wp-content/uploads/2020/04/C_03_15_BLANC.jpg
1;2;https://camitees.com/wp-content/uploads/2020/05/199-inkjet-768x878.jpg
1;3;https://camitees.com/wp-content/uploads/2020/05/07-camiseta-lavada-768x878.jpg
1;4;https://camitees.com/wp-content/uploads/2020/05/33-vintage-768x878.jpg
2;5;https://camitees.com/wp-content/uploads/2020/05/CANADA_196.png
2;1;https://camitees.com/wp-content/uploads/2020/05/417-capri-768x878.jpg
2;2;https://camitees.com/wp-content/uploads/2020/05/181-felpa-cerrada-768x878.jpg
3;5;https://camitees.com/wp-content/uploads/2020/05/COLOR_05_MARI-2.jpg
3;1;https://camitees.com/wp-content/uploads/2021/04/PO0404_01_2_1-262x300.jpg
4;2;https://camitees.com/wp-content/uploads/2020/05/C_230_07_NEGRE-1.jpg
4;1;https://camitees.com/wp-content/uploads/2020/05/123-florencia-768x878.jpg
5;5;https://camitees.com/wp-content/uploads/2021/04/CP7019_55_1_1.jpg
